payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Казарського,1-а у м.Мик.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрахув.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.1 Лінія,1/2 у м.Микол.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.11 Поздовжня,7 у м.Мик.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Заводська,27/6 у м.Микол.;згід.звед.кошт.розр.за 01.2021;БезПДВ."
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пр.Богоявлен.,301 у м.Микол.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,119.29,Департамент ЖКГ,03365707,2021-04-08,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пров.Корабелів,19 у м.Мик.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,624.22,Департамент ЖКГ,03365707,2021-04-30,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот. рем. сис. хол. водопост. жб. по в.Севастопольська,47а  в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,3018.31,Департамент ЖКГ,03365707,2021-04-15,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот. рем. сис. водопост.та водовід. жб. по пр.Центральному,96  в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,826.28,Департамент ЖКГ,03365707,2021-04-15,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот. рем. сис. хол. водопост. жб. по в.Севастопольська,47а  в м.Мик;згід.звед.кошт.розр.за 04.2021;БезПДВ."
Департамент ЖКГ,03365707,304.84,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.пандусу жб.по в.Тернопільська, 79А, п.1 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,616.36,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Шосейна, 83 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,3704,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Шнеєрсона,12 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,569.55,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Бузніка, 2 в м.Мик;згід.звед.кошт.розр.за 02.2021;БезПДВ."
Департамент ЖКГ,03365707,697.96,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.пандусу жб.по в.12 Поздовж. 5А, п. 2 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,570.65,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.пандусу жб.по в.Крилова, 27, п. 3 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,827.08,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.пандусу жб.по пр.Корабелів, 2А, п. 3 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,796.74,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.ж/б в.Фалеєвська, 91 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,385.96,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.Терасна, 8 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
